sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,giftcard_type,giftcard_allow_open_amount,giftcard_open_amount_min,giftcard_open_amount_max,giftcard_amount,use_config_is_redeemable,giftcard_is_redeemable,use_config_lifetime,giftcard_lifetime,use_config_allow_message,giftcard_allow_message,use_config_email_template,giftcard_email_template,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,downloadable_links,downloadable_samples,associated_skus
24-MB01,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags",luma_b2c,Joust Duffle Bag,"<p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",34,,,,joust-duffle-bag,,,,/m/b/mb01-blue-0.jpg,,/m/b/mb01-blue-0.jpg,,/m/b/mb01-blue-0.jpg,,,,"12/7/23, 4:31 PM","12/7/23, 4:45 PM",,,,,,,,,,,,,,,,"featured_product=Yes,in_store_available=Online Exclusive,sale=No",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-WG086,24-WG083-blue,24-UG01,24-WG085_Group","1,2,3,4","24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB07","1,2,3,4,5,6,7,8",/m/b/mb01-blue-0.jpg,Image,,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB04,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags,Luma Catalog/Collections",luma_b2c,Strive Shoulder Pack,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p>
<ul>
<li>Zippered main compartment.</li>
<li>Front zippered pocket.</li>
<li>Side mesh pocket.</li>
<li>Cell phone pocket on strap.</li>
<li>Adjustable shoulder strap and top carry handle.</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",32,32,12/8/23,,strive-shoulder-pack,,,,/m/b/mb04-black-0.jpg,Image,/m/b/mb04-black-0.jpg,Image,/m/b/mb04-black-0.jpg,Image,no_selection,,"12/7/23, 4:31 PM","12/7/23, 4:53 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Gym|Hiking|Trail|Urban,badge=Best Seller,erin_recommends=Yes,featured_product=Yes,features_bags=Audio Pocket|Laptop Sleeve|Lightweight|Waterproof,in_store_available=Online Exclusive,look_book_image=no_selection,material=Canvas|Cotton|Mesh|Polyester,sale=No,strap_bags=Adjustable|Cross Body|Padded|Shoulder|Single,style_bags=Exercise|Messenger|Tote,subscription_active=No",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-UG03,24-UG05,24-WG080,24-UG04","1,2,3,4","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB06,24-WB07","1,2,3,4,5,6,7,8,9,10","/m/b/mb04-black-0.jpg,/m/b/mb04-black-0_alt1.jpg","Image,Image",,"name=Add Your Initials,type=field,required=0,price=25.000000,sku=monogram,max_characters=5,file_extension=,image_size_x=0,image_size_y=0,price_type=percent",,,,,,,,,,,,,,,,,,,,,,,,
24-MB03,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags",luma_b2c,Crown Summit Backpack,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p>
<ul>
<li>Top handle.</li>
<li>Grommet holes.</li>
<li>Two-way zippers.</li>
<li>H 20"" x W 14"" x D 12"".</li>
<li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li>
<ul>",,1,1,Taxable Goods,"Catalog, Search",38,,,,crown-summit-backpack,,,,/m/b/mb03-black-0.jpg,,/m/b/mb03-black-0.jpg,,/m/b/mb03-black-0.jpg,,,,"12/7/23, 4:31 PM","12/7/23, 4:44 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Gym|Hiking|Overnight|School|Trail|Travel|Urban,badge=Most Shared,features_bags=Audio Pocket|Laptop Sleeve|Lightweight|Reflective|Waterproof,in_store_available=Online Exclusive,material=Nylon|Polyester,strap_bags=Adjustable|Double|Padded,style_bags=Backpack",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-UG06,24-WG084,24-WG087,24-UG02","1,2,3,4","24-MB02,24-MB05,24-MB06,24-UB02,24-WB04,24-WB07","1,2,3,4,5,6","/m/b/mb03-black-0.jpg,/m/b/mb03-black-0_alt1.jpg","Image,Image",,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB05,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags,Luma Catalog/Collections,Luma Catalog/Collections/New Luma Yoga Collection",luma_b2c,Wayfarer Messenger Bag,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p>
<ul>
<li>Multiple internal zip pockets.</li>
<li>Made of durable nylon.</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",45,,,,wayfarer-messenger-bag,,,,/m/b/mb05-black-0.jpg,,/m/b/mb05-black-0.jpg,,/m/b/mb05-black-0.jpg,,,,"12/7/23, 4:31 PM","12/7/23, 4:44 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Gym|Overnight|Travel,badge=Best Seller,features_bags=Laptop Sleeve|Lightweight|Lockable|Reflective|Waterproof,in_store_available=Online Exclusive,material=Nylon|Polyester,new=Yes,strap_bags=Adjustable|Detachable|Double|Padded|Shoulder,style_bags=Laptop|Messenger",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-UG04,24-WG088,24-WG087,24-WG081-gray","1,2,3,4","24-MB02,24-UB02","1,2",/m/b/mb05-black-0.jpg,Image,,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB06,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags,Luma Catalog/Collections,Luma Catalog/Collections/New Luma Yoga Collection",luma_b2c,Rival Field Messenger,"<p>The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.</p>
<ul>
<li>Leather construction.</li>
<li>Adjustable fabric carry strap.</li>
<li>Dimensions: 18"" x 10"" x 4"".</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",45,,,,rival-field-messenger,,,,/m/b/mb06-gray-0.jpg,,/m/b/mb06-gray-0.jpg,,/m/b/mb06-gray-0.jpg,,,,"12/7/23, 4:31 PM","12/7/23, 4:44 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Travel|Urban,features_bags=Flapover|Laptop Sleeve|Lightweight,in_store_available=Online Exclusive,material=Leather|Nylon|Suede,new=Yes,strap_bags=Adjustable|Cross Body|Shoulder|Single,style_bags=Exercise|Laptop|Messenger",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-UG07,24-WG087,24-WG080,24-WG085_Group","1,2,3,4","24-MB02,24-UB02","1,2",/m/b/mb06-gray-0.jpg,Image,,,,,,,,,,,,,,,,,,,,,,,,,,
24-MB02,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags",luma_b2c,Fusion Backpack,"<p>With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.</p>
<ul>
<li>Durable nylon construction.</li>
<li>2 main zippered compartments.</li>
<li>1 exterior zippered pocket.</li>
<li>Mesh side pouches.</li>
<li>Padded, adjustable straps.</li>
<li>Top carry handle.</li>
<li>Dimensions: 18"" x 10"" x 6"".</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",59,,,,fusion-backpack,,,,/m/b/mb02-gray-0.jpg,,/m/b/mb02-gray-0.jpg,,/m/b/mb02-gray-0.jpg,,,,"12/7/23, 4:31 PM","12/7/23, 4:44 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Hiking|School|Yoga,badge=In-Store Pickup,features_bags=Audio Pocket|Hydration Pocket|Lightweight|Waterproof,in_store_available=In Store,material=Burlap|Nylon|Polyester,strap_bags=Adjustable|Double|Padded,style_bags=Backpack|Laptop",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-UG02,24-UG03,24-UG04,24-UG05","1,2,3,4",24-UB02,1,"/m/b/mb02-gray-0.jpg,/m/b/mb02-blue-0.jpg","Image,Image",,,,,,,,,,,,,,,,,,,,,,,,,,
24-UB02,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags",luma_b2c,Impulse Duffle,"<p>Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.</p>
<ul>
<li>Wheeled.</li>
<li>Dual carry handles.</li>
<li>Retractable top handle.</li>
<li>W 14"" x H 26"" x D 11"".</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",74,,,,impulse-duffle,,,,/u/b/ub02-black-0.jpg,,/u/b/ub02-black-0.jpg,,/u/b/ub02-black-0.jpg,,,,"12/7/23, 4:31 PM","12/7/23, 4:44 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Gym|Overnight|Travel,badge=New,features_bags=Lockable|TSA Approved|Wheeled,in_store_available=Online Exclusive,material=Nylon|Polyester,strap_bags=Adjustable|Double|Telescoping,style_bags=Duffel|Luggage",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-WG088,24-WG085_Group,24-UG06,24-UG02","1,2,3,4",,,/u/b/ub02-black-0.jpg,Image,,,,,,,,,,,,,,,,,,,,,,,,,,
24-WB01,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags",luma_b2c,Voyage Yoga Bag,"<p>Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.</p>
<ul>
<li>Slip pocket on front.</li>
<li>Contrast piping.</li>
<li>Durable nylon construction.</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",32,,,,voyage-yoga-bag,,,,/w/b/wb01-black-0.jpg,,/w/b/wb01-black-0.jpg,,/w/b/wb01-black-0.jpg,,,,"12/7/23, 4:31 PM","12/7/23, 4:44 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Gym|Yoga,badge=In-Store Pickup,features_bags=Lockable|Reflective|Waterproof,in_store_available=In Store,material=Nylon|Polyester,strap_bags=Double|Shoulder,style_bags=Exercise|Tote",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-UG07,24-WG082-pink,24-WG087,24-WG085_Group","1,2,3,4","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB06,24-WB07","1,2,3,4,5,6,7,8,9,10",/w/b/wb01-black-0.jpg,Image,,,,,,,,,,,,,,,,,,,,,,,,,,
24-WB02,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags",luma_b2c,Compete Track Tote,"<p>The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.<p>
<ul>
<li>Two-way zippers.</li>
<li>Contrast detailing.</li>
<li>W 22.0"" x H 17"" x D 10"".</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",32,,,,compete-track-tote,,,,/w/b/wb02-green-0.jpg,,/w/b/wb02-green-0.jpg,,/w/b/wb02-green-0.jpg,,,,"12/7/23, 4:31 PM","12/7/23, 4:44 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Gym|School|Yoga,features_bags=Lightweight|Reflective|Waterproof,in_store_available=Online Exclusive,material=Nylon|Polyester|Rayon,strap_bags=Adjustable|Double|Shoulder,style_bags=Exercise|Tote",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-WG088,24-UG01,24-WG084,24-WG082-pink","1,2,3,4","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB06,24-WB07","1,2,3,4,5,6,7,8,9,10",/w/b/wb02-green-0.jpg,Image,,,,,,,,,,,,,,,,,,,,,,,,,,
24-WB05,,Bag,simple,"Luma Catalog/Gear,Luma Catalog/Gear/Bags,Luma Catalog/Collections",luma_b2c,Savvy Shoulder Tote,"<p>Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.</p>
<ul>
<li>Water-resistant shell.</li>
<li>Water bottle pocket.</li>
<li>Padded, articulating shoulder strap.</li>
<li>Dimensions: W 21"" x H 15"" x D 10"".</li>
</ul>",,1,1,Taxable Goods,"Catalog, Search",32,24,12/8/23,,savvy-shoulder-tote,,,,/w/b/wb05-red-0.jpg,Image,/w/b/wb05-red-0.jpg,Image,/w/b/wb05-red-0.jpg,Image,no_selection,,"12/7/23, 4:31 PM","12/7/23, 4:53 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"activity=Gym|Yoga,badge=Sale,erin_recommends=Yes,features_bags=Audio Pocket|Lightweight,in_store_available=Online Exclusive,look_book_image=no_selection,sale=Yes,strap_bags=Adjustable|Cross Body|Shoulder|Single,style_bags=Exercise|Tote,subscription_active=No",100,0,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0,1,0,0,0,0,1,,,"24-WG085,24-WG088,24-WG082-pink,24-WG087","1,2,3,4","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB06,24-WB07","1,2,3,4,5,6,7,8,9,10",/w/b/wb05-red-0.jpg,Image,,,,,,,,,,,,,,,,,,,,,,,,,,
